race_id,race_date,target_market,model,tv
2025-08-08_2_13,2025-08-08,quinella,harville,0.131995970072
2025-08-08_2_13,2025-08-08,trio,main,0.0476801357663
2025-08-08_2_13,2025-08-08,trio,harville,0.143409359064
2025-08-09_2_05,2025-08-09,win,main,0.116385423947
2025-08-09_2_05,2025-08-09,win,harville,3.46944695195e-17
2025-08-09_2_05,2025-08-09,exacta,main,0.076339254531
2025-08-09_2_05,2025-08-09,exacta,harville,0.126185666134
2025-08-09_2_05,2025-08-09,quinella,main,0.0653245755449
2025-08-09_2_05,2025-08-09,quinella,harville,0.113228599842
2025-08-09_2_05,2025-08-09,trio,main,0.0448004739045
2025-08-09_2_05,2025-08-09,trio,harville,0.146406716982
2025-08-10_3_03,2025-08-10,win,main,0.0601817794608
2025-08-10_3_03,2025-08-10,win,harville,5.72458747072e-17
2025-08-10_3_03,2025-08-10,exacta,main,0.0686962633888
2025-08-10_3_03,2025-08-10,exacta,harville,0.129011903092
2025-08-10_3_03,2025-08-10,quinella,main,0.07185347398
2025-08-10_3_03,2025-08-10,quinella,harville,0.0983643120316
2025-08-10_3_03,2025-08-10,trio,main,0.0576141865346
2025-08-10_3_03,2025-08-10,trio,harville,0.200756428585
2025-08-10_3_05,2025-08-10,win,main,0.0454346149594
2025-08-10_3_05,2025-08-10,win,harville,6.07153216592e-17
2025-08-10_3_05,2025-08-10,exacta,main,0.0508378765534
2025-08-10_3_05,2025-08-10,exacta,harville,0.105744725893
2025-08-10_3_05,2025-08-10,quinella,main,0.0662632065042
2025-08-10_3_05,2025-08-10,quinella,harville,0.111835871358
2025-08-10_3_05,2025-08-10,trio,main,0.0424524228509
2025-08-10_3_05,2025-08-10,trio,harville,0.173646549344
2025-08-10_3_06,2025-08-10,win,main,0.0540695603994
2025-08-10_3_06,2025-08-10,win,harville,4.68375338514e-17
2025-08-10_3_06,2025-08-10,exacta,main,0.0474248577845
2025-08-10_3_06,2025-08-10,exacta,harville,0.0882677711742
2025-08-10_3_06,2025-08-10,quinella,main,0.0446791199461
2025-08-10_3_06,2025-08-10,quinella,harville,0.0770240631048
